Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Individual,infection,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,Time
SRR3471680,RNA-Seq,100,3477551300,PRJNA320361,SAMN04932811,2475387439,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1739038,GSM2141295,AF63,Salmonella,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T12:05:00Z,1,GSM2141295,Macrophages,SRP074274,2 hr
SRR3471681,RNA-Seq,100,3984732000,PRJNA320361,SAMN04932929,2948974156,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1739039,GSM2141296,AF65,Listeria,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T11:08:00Z,1,GSM2141296,Macrophages,SRP074274,2 hr
SRR3471682,RNA-Seq,100,3721577000,PRJNA320361,SAMN04932930,2759408824,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1739040,GSM2141297,AF65,Non-infected,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T11:17:00Z,1,GSM2141297,Macrophages,SRP074274,2 hr
SRR3471683,RNA-Seq,100,4122355500,PRJNA320361,SAMN04932924,3046757780,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1739041,GSM2141298,AF65,Salmonella,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T12:12:00Z,1,GSM2141298,Macrophages,SRP074274,2 hr
SRR3471684,RNA-Seq,100,4131348200,PRJNA320361,SAMN04932925,2989915844,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1739042,GSM2141299,AF67,Listeria,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T11:12:00Z,1,GSM2141299,Macrophages,SRP074274,2 hr
SRR3471685,RNA-Seq,100,3942627800,PRJNA320361,SAMN04932926,2855135544,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1739043,GSM2141300,AF67,Non-infected,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T12:13:00Z,1,GSM2141300,Macrophages,SRP074274,2 hr
SRR3471686,RNA-Seq,100,4061447100,PRJNA320361,SAMN04932927,2926160135,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1739044,GSM2141301,AF67,Salmonella,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T11:15:00Z,1,GSM2141301,Macrophages,SRP074274,2 hr
SRR3471687,RNA-Seq,100,3087302400,PRJNA320361,SAMN04932928,2252235594,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1739045,GSM2141302,AF69,Listeria,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T11:20:00Z,1,GSM2141302,Macrophages,SRP074274,2 hr
SRR3471688,RNA-Seq,100,4459470000,PRJNA320361,SAMN04932812,3231403314,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1739046,GSM2141303,AF69,Non-infected,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T12:14:00Z,1,GSM2141303,Macrophages,SRP074274,2 hr
SRR3471689,RNA-Seq,100,4764993600,PRJNA320361,SAMN04932813,3436091857,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1739047,GSM2141304,AF69,Salmonella,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T11:17:00Z,1,GSM2141304,Macrophages,SRP074274,2 hr
